"count","truePos","falseNeg","falsePos","F1val","Sens","Prec","Miss","FPper","F05v","beta","ModelName","SpeciesCode","Threshold","F075v","type","gvOpt"
1163,395,281,41,0.710431654676259,0.584319526627219,0.905963302752294,0.415680473372781,0.0940366972477064,0.816115702479339,0.5,"MobileNetv2","HOFI",0.97,0.756125574272588,"Soundscape","F0.5 optimized"
267,188,40,37,0.830022075055188,0.824561403508772,0.835555555555556,0.175438596491228,0.164444444444444,0.833333333333333,0.5,"MobileNetv2","MAWR",0.67,0.831564048124558,"Soundscape","F0.5 optimized"
118,39,70,9,0.496815286624204,0.357798165137615,0.8125,0.642201834862385,0.1875,0.647840531561462,0.5,"ResNet50v2","MODO",0.65,0.55746140651801,"Soundscape","F0.5 optimized"
143,53,20,0,0.841269841269841,0.726027397260274,1,0.273972602739726,0,0.929824561403509,0.5,"ResNet50v2","MOUQ",0.97,0.880398671096346,"Soundscape","F0.5 optimized"
809,402,378,29,0.663914120561519,0.515384615384615,0.932714617169374,0.484615384615385,0.0672853828306264,0.802715654952077,0.5,"MobileNetv2","OATI",0.65,0.72219028456453,"Soundscape","F0.5 optimized"
977,248,318,77,0.556677890011223,0.438162544169611,0.763076923076923,0.561837455830389,0.236923076923077,0.664523043944266,0.5,"ResNet101v2","OCWA",0.73,0.602292597629687,"Soundscape","F0.5 optimized"
425,96,47,93,0.578313253012048,0.671328671328671,0.507936507936508,0.328671328671329,0.492063492063492,0.533926585094549,0.5,"MobileNetv2","PAWR",0.99,0.556715379262352,"Soundscape","F0.5 optimized"
2127,834,442,36,0.777260018639329,0.653605015673981,0.958620689655172,0.346394984326019,0.0413793103448276,0.876787216148024,0.5,"MobileNetv2","PSFL",0.92,0.820736891828059,"Soundscape","F0.5 optimized"
863,306,146,133,0.686868686868687,0.676991150442478,0.697038724373576,0.323008849557522,0.302961275626424,0.692934782608696,0.5,"ResNet101v2","RWBL",0.91,0.689686260367833,"Soundscape","F0.5 optimized"
367,48,40,7,0.671328671328671,0.545454545454545,0.872727272727273,0.454545454545455,0.127272727272727,0.779220779220779,0.5,"ResNet101v2","SAVS",0.96,0.717703349282297,"Soundscape","F0.5 optimized"
348,38,145,43,0.287878787878788,0.207650273224044,0.469135802469136,0.792349726775956,0.530864197530864,0.374753451676529,0.5,"ResNet101v2","SOSP",0.7,0.322799864084268,"Soundscape","F0.5 optimized"
765,422,322,21,0.711036225779275,0.567204301075269,0.952595936794582,0.432795698924731,0.0474040632054176,0.838632750397456,0.5,"MobileNetv2","SPTO",0.65,0.765380150899594,"Soundscape","F0.5 optimized"
1059,259,317,60,0.57877094972067,0.449652777777778,0.811912225705329,0.550347222222222,0.188087774294671,0.699244060475162,0.5,"MobileNetv2","STJA",0.9,0.629374027993779,"Soundscape","F0.5 optimized"
708,344,289,75,0.653992395437262,0.543443917851501,0.821002386634845,0.456556082148499,0.178997613365155,0.744911216977046,0.5,"ResNet50v2","WAVI",0.65,0.693492460285461,"Soundscape","F0.5 optimized"
658,224,192,16,0.682926829268293,0.538461538461538,0.933333333333333,0.461538461538462,0.0666666666666667,0.813953488372093,0.5,"MobileNetv2","WBNU",0.88,0.738396624472574,"Soundscape","F0.5 optimized"
172,63,64,4,0.649484536082474,0.496062992125984,0.940298507462687,0.503937007874016,0.0597014925373134,0.79746835443038,0.5,"ResNet101v2","WCSP",0.68,0.711060948081264,"Soundscape","F0.5 optimized"
947,388,202,55,0.751210067763795,0.657627118644068,0.875846501128668,0.342372881355932,0.124153498871332,0.821337849280271,0.5,"ResNet101v2","WEME",0.8,0.782384255525085,"Soundscape","F0.5 optimized"
411,114,121,4,0.645892351274788,0.485106382978723,0.966101694915254,0.514893617021277,0.0338983050847458,0.806223479490806,0.5,"ResNet50v2","WETA",0.96,0.711966025480889,"Soundscape","F0.5 optimized"
157,41,39,1,0.672131147540984,0.5125,0.976190476190476,0.4875,0.0238095238095238,0.826612903225806,0.5,"MobileNetv2","WITU",0.93,0.736350574712644,"Soundscape","F0.5 optimized"
254,161,93,0,0.775903614457831,0.633858267716535,1,0.366141732283465,0,0.896436525612472,0.5,"ResNet101v2","WIWA",0.65,0.827848621966269,"Soundscape","F0.5 optimized"
273,77,79,17,0.616,0.493589743589744,0.819148936170213,0.506410256410256,0.180851063829787,0.723684210526316,0.5,"MobileNetv2","WREN",0.82,0.661966987620358,"Soundscape","F0.5 optimized"
